Type,Location,Latitude,Longitude
Bridge Restriction,Single lane,37.692995,-77.459761
Bridge Restriction - 10 Tons,SPRING ROAD,37.772631,-77.749214
Bridge Restriction - 10 Tons,TEMAN ROAD,37.957978,-77.631508
Bridge Restriction - 12 Tons,COATESVILLE ROAD,37.855339,-77.608602
Bridge Restriction - 15 Tons,Vontay Road,37.754845,-77.762759
Bridge Restriction - 16 Tons,GOSHEN ROAD,37.849339,-77.64427
Bridge Restriction - 17 Tons,BETHANY CHURCH RD,37.786969,-77.697895
Bridge Restriction - 19 Tons,FLANNIGAN MILL RD,37.618423,-77.180296
Bridge Restriction - 21 Tons,DOSWELL ROAD,37.845761,-77.505965
Bridge Restriction - 27 Tons,Beaver Dam Road,37.84779,-77.690307
Bridge Restriction - 3 Tons / Single Lane,GREENWOOD ROAD,37.700777,-77.512914
Bridge Restriction - 6 Tons / Single Lane,HORSESHOE BRIDGE,37.7993,-77.531719
Bridge Restriction - 9 Tons,TEMAN ROAD,37.922941,-77.628731
